Use existing (1) or new (0)Input sizes: Input number of particles (for first two species, of three): a to add k point, r to add all k points in a radius, f to finish :Input radius:a to add k point, r to add all k points in a radius, f to finish :constraints are:
0 	1
1 	0
Input random seed:Choose cooling schedule (z : keep T=0, t : Thermodynamic, e : Exponential)Input Cooling speed, intial temperature, stopping temperature, and T=0 number of sweepsTime=0	 Trials=100	 Acceptances=100 	T=100 	E=0.657603
Time=1	 Trials=100100	 Acceptances=100017 	T=90.4837 	E=0.649875
Time=1	 Trials=150100	 Acceptances=149974 	T=81.8731 	E=1.88633
Time=1	 Trials=200100	 Acceptances=199922 	T=74.0818 	E=2.28646
Time=1	 Trials=250100	 Acceptances=249877 	T=67.032 	E=0.587923
Time=1	 Trials=300100	 Acceptances=299828 	T=60.6531 	E=0.936057
Time=1	 Trials=350100	 Acceptances=349781 	T=54.8812 	E=0.529598
Time=1	 Trials=400100	 Acceptances=399712 	T=49.6585 	E=0.572299
Time=1	 Trials=450100	 Acceptances=449658 	T=44.9329 	E=0.824688
Time=1	 Trials=500100	 Acceptances=499587 	T=40.657 	E=0.163892
Time=1	 Trials=550100	 Acceptances=549492 	T=36.7879 	E=0.797643
Time=1	 Trials=600100	 Acceptances=599406 	T=33.2871 	E=0.798053
Time=1	 Trials=650100	 Acceptances=649282 	T=30.1194 	E=1.65623
Time=1	 Trials=700100	 Acceptances=699155 	T=27.2532 	E=1.20922
Time=1	 Trials=750100	 Acceptances=749029 	T=24.6597 	E=0.691296
Time=1	 Trials=800100	 Acceptances=798874 	T=22.313 	E=0.452069
Time=1	 Trials=850100	 Acceptances=848709 	T=20.1897 	E=1.06017
Time=1	 Trials=900100	 Acceptances=898529 	T=18.2684 	E=0.888024
Time=1	 Trials=950100	 Acceptances=948349 	T=16.5299 	E=1.92837
Time=1	 Trials=1000100	 Acceptances=998131 	T=14.9569 	E=0.504914
Time=1	 Trials=1050100	 Acceptances=1047884 	T=13.5335 	E=0.596205
Time=1	 Trials=1100100	 Acceptances=1097609 	T=12.2456 	E=0.529301
Time=1	 Trials=1150100	 Acceptances=1147338 	T=11.0803 	E=1.85577
Time=1	 Trials=1200100	 Acceptances=1197023 	T=10.0259 	E=0.676214
Time=1	 Trials=1250100	 Acceptances=1246664 	T=9.0718 	E=1.13061
Time=1	 Trials=1300100	 Acceptances=1296310 	T=8.2085 	E=0.248857
Time=1	 Trials=1350100	 Acceptances=1345917 	T=7.42736 	E=0.570183
Time=1	 Trials=1400100	 Acceptances=1395445 	T=6.72055 	E=1.26868
Time=1	 Trials=1450100	 Acceptances=1444940 	T=6.08101 	E=0.346948
Time=1	 Trials=1500100	 Acceptances=1494351 	T=5.50232 	E=0.987563
Time=1	 Trials=1550100	 Acceptances=1543748 	T=4.97871 	E=1.09698
Time=1	 Trials=1600100	 Acceptances=1593081 	T=4.50492 	E=0.643105
Time=1	 Trials=1650100	 Acceptances=1642295 	T=4.07622 	E=0.6867
Time=1	 Trials=1700100	 Acceptances=1691486 	T=3.68832 	E=0.624066
Time=1	 Trials=1750100	 Acceptances=1740545 	T=3.33733 	E=0.963492
Time=1	 Trials=1800100	 Acceptances=1789581 	T=3.01974 	E=0.689373
Time=1	 Trials=1850100	 Acceptances=1838470 	T=2.73237 	E=1.01979
Time=1	 Trials=1900100	 Acceptances=1887231 	T=2.47235 	E=1.70442
Time=1	 Trials=1950100	 Acceptances=1935944 	T=2.23708 	E=1.01564
Time=1	 Trials=2000100	 Acceptances=1984501 	T=2.02419 	E=0.84353
Time=1	 Trials=2050100	 Acceptances=2032880 	T=1.83156 	E=1.21504
Time=1	 Trials=2100100	 Acceptances=2081058 	T=1.65727 	E=0.940711
Time=1	 Trials=2150100	 Acceptances=2129167 	T=1.49956 	E=0.799165
Time=1	 Trials=2200100	 Acceptances=2176971 	T=1.35686 	E=0.39241
Time=1	 Trials=2250100	 Acceptances=2224689 	T=1.22773 	E=0.790157
Time=1	 Trials=2300100	 Acceptances=2272115 	T=1.1109 	E=1.00896
Time=1	 Trials=2350100	 Acceptances=2319329 	T=1.00518 	E=0.564322
Time=1	 Trials=2400100	 Acceptances=2366138 	T=0.909528 	E=1.41815
Time=1	 Trials=2450100	 Acceptances=2412794 	T=0.822975 	E=1.4991
Time=1	 Trials=2500100	 Acceptances=2459183 	T=0.74911 	E=0.847553
Time=1	 Trials=2550100	 Acceptances=2505108 	T=0.685969 	E=0.963999
Time=1	 Trials=2600100	 Acceptances=2550819 	T=0.631996 	E=0.572599
Time=1	 Trials=2650100	 Acceptances=2596246 	T=0.586656 	E=0.191372
Time=1	 Trials=2700100	 Acceptances=2641430 	T=0.544967 	E=0.70444
Time=1	 Trials=2750100	 Acceptances=2686187 	T=0.510434 	E=0.345055
Time=1	 Trials=2800100	 Acceptances=2730910 	T=0.479243 	E=0.687312
Time=1	 Trials=2850100	 Acceptances=2775234 	T=0.444428 	E=0.532904
Time=1	 Trials=2900100	 Acceptances=2819156 	T=0.415499 	E=1.12935
Time=1	 Trials=2950100	 Acceptances=2862722 	T=0.393061 	E=0.167663
Time=1	 Trials=3000100	 Acceptances=2906067 	T=0.370226 	E=0.229847
Time=1	 Trials=3050100	 Acceptances=2948991 	T=0.349037 	E=0.289862
Time=1	 Trials=3100100	 Acceptances=2991565 	T=0.330922 	E=1.07484
Time=1	 Trials=3150100	 Acceptances=3033956 	T=0.314198 	E=0.623848
Time=1	 Trials=3200100	 Acceptances=3076033 	T=0.299167 	E=0.244672
Time=1	 Trials=3250100	 Acceptances=3117838 	T=0.284512 	E=0.159228
Time=1	 Trials=3300100	 Acceptances=3159343 	T=0.272924 	E=0.303877
Time=1	 Trials=3350100	 Acceptances=3200508 	T=0.261659 	E=0.331708
Time=1	 Trials=3400100	 Acceptances=3241346 	T=0.250144 	E=0.371784
Time=1	 Trials=3450100	 Acceptances=3281912 	T=0.239686 	E=0.579517
Time=1	 Trials=3500100	 Acceptances=3322183 	T=0.229037 	E=0.999703
Time=1	 Trials=3550100	 Acceptances=3361917 	T=0.219 	E=0.301332
Time=1	 Trials=3600100	 Acceptances=3401390 	T=0.208034 	E=0.355457
Time=1	 Trials=3650100	 Acceptances=3440557 	T=0.199626 	E=0.241697
Time=1	 Trials=3700100	 Acceptances=3479484 	T=0.191727 	E=0.0669825
Time=1	 Trials=3750100	 Acceptances=3517851 	T=0.184806 	E=0.113982
Time=1	 Trials=3800100	 Acceptances=3556043 	T=0.178252 	E=0.602037
Time=1	 Trials=3850100	 Acceptances=3594182 	T=0.172211 	E=0.444287
Time=1	 Trials=3900100	 Acceptances=3631963 	T=0.165674 	E=0.232589
Time=1	 Trials=3950100	 Acceptances=3669289 	T=0.159719 	E=0.195058
Time=1	 Trials=4000100	 Acceptances=3706263 	T=0.154032 	E=0.30577
Time=1	 Trials=4050100	 Acceptances=3742867 	T=0.14916 	E=0.466845
Time=1	 Trials=4100100	 Acceptances=3779541 	T=0.145502 	E=0.264478
Time=1	 Trials=4150100	 Acceptances=3815783 	T=0.140185 	E=0.111832
Time=1	 Trials=4200100	 Acceptances=3851570 	T=0.134518 	E=0.378905
Time=1	 Trials=4250100	 Acceptances=3887046 	T=0.13013 	E=0.181409
Time=1	 Trials=4300100	 Acceptances=3922165 	T=0.125915 	E=0.315504
Time=1	 Trials=4350100	 Acceptances=3957115 	T=0.121689 	E=0.27357
Time=1	 Trials=4400100	 Acceptances=3991937 	T=0.117769 	E=0.100339
Time=1	 Trials=4450100	 Acceptances=4026249 	T=0.114217 	E=0.144146
Time=1	 Trials=4500100	 Acceptances=4060298 	T=0.110684 	E=0.0815411
Time=1	 Trials=4550100	 Acceptances=4094047 	T=0.107053 	E=0.448912
Time=1	 Trials=4600100	 Acceptances=4127153 	T=0.103885 	E=0.813318
Time=1	 Trials=4650100	 Acceptances=4160071 	T=0.100567 	E=0.172732
Time=1	 Trials=4700100	 Acceptances=4192936 	T=0.0976221 	E=0.1984
Time=1	 Trials=4750100	 Acceptances=4225502 	T=0.0946071 	E=0.290046
Time=1	 Trials=4800100	 Acceptances=4257717 	T=0.0912834 	E=0.121523
Time=1	 Trials=4850100	 Acceptances=4289357 	T=0.0878844 	E=0.375431
Time=1	 Trials=4900100	 Acceptances=4320781 	T=0.0852834 	E=0.208673
Time=1	 Trials=4950100	 Acceptances=4352000 	T=0.0827778 	E=0.0894921
Time=1	 Trials=5000100	 Acceptances=4382794 	T=0.0804027 	E=0.219475
Time=1	 Trials=5050100	 Acceptances=4412860 	T=0.0777653 	E=0.15856
Time=1	 Trials=5100100	 Acceptances=4442780 	T=0.0754601 	E=0.185566
Time=1	 Trials=5150100	 Acceptances=4472538 	T=0.0732832 	E=0.279702
Time=2	 Trials=5200100	 Acceptances=4501921 	T=0.0710907 	E=0.0895022
Time=2	 Trials=5250100	 Acceptances=4530932 	T=0.0691405 	E=0.159144
Time=2	 Trials=5300100	 Acceptances=4559661 	T=0.0675923 	E=0.176261
Time=2	 Trials=5350100	 Acceptances=4587810 	T=0.0656621 	E=0.308586
Time=2	 Trials=5400100	 Acceptances=4615903 	T=0.0638649 	E=0.124552
Time=2	 Trials=5450100	 Acceptances=4643920 	T=0.0623573 	E=0.154948
Time=2	 Trials=5500100	 Acceptances=4671580 	T=0.060671 	E=0.125462
Time=2	 Trials=5550100	 Acceptances=4698905 	T=0.0590144 	E=0.0900499
